geration,id,w1,w2,w3
0,0,9.568578047092956,-8.224635247203217,4.369210020049113
0,1,-13.511242795824225,-10.28859639874987,-1.3225150309943032
0,2,19.637626555510195,-2.129659483313155,8.194136925574856
0,3,-12.961072361194091,18.711625352551998,-16.256289638254305
0,4,0.43509392670091884,1.6203012101028413,2.8027034352517006
0,5,4.563971259844848,-0.5034208933024118,-15.219885789193558
0,6,-14.997404156672186,4.454674958949628,-6.876177227396614
0,7,-15.206665165664557,1.4147818697941332,-17.16898944622612
0,8,15.711339314143174,18.583013579282664,-15.934198896732958
0,9,9.771350565322567,-12.248068533124803,11.781838677540115
0,10,4.069696338998,3.2312564265304076,-11.91830375166389
0,11,-6.816983215562566,3.4145883111707143,9.6257233541251
0,12,-9.954733177587428,14.01333382775406,9.874390625840903
0,13,6.868404446001538,16.283505758856464,12.285585242933323
0,14,-14.606774398910765,-16.018218954195724,-12.704854610138092
1,0,-12.961072361194091,18.711625352551998,-16.256289638254305
1,1,9.568578047092956,-8.224635247203217,4.369210020049113
1,2,-13.511242795824225,-10.28859639874987,-1.3225150309943032
1,3,19.637626555510195,-2.129659483313155,8.194136925574856
1,4,0.43509392670091884,1.6203012101028413,2.8027034352517006
1,5,-12.961072361194091,-7.6827589566481205,4.369210020049113
1,6,9.568578047092956,-10.28859639874987,-0.672879912816476
1,7,-13.511242795824225,-3.096120845305917,8.194136925574856
1,8,18.733112486146076,1.6203012101028413,2.8027034352517006
1,9,0.43509392670091884,18.711625352551998,-15.694587782008217
1,10,-12.961072361194091,-7.694070944022938,4.369210020049113
1,11,9.568578047092956,-10.28859639874987,-0.7069063562966815
1,12,-12.624771379327814,-2.129659483313155,8.194136925574856
1,13,19.637626555510195,1.6203012101028413,2.621800188076673
1,14,1.2458504264638621,18.711625352551998,-16.256289638254305
2,0,-12.961072361194091,18.711625352551998,-16.256289638254305
2,1,9.568578047092956,-8.224635247203217,4.369210020049113
2,2,-13.511242795824225,-10.28859639874987,-1.3225150309943032
2,3,19.637626555510195,-2.129659483313155,8.194136925574856
2,4,0.43509392670091884,1.6203012101028413,2.8027034352517006
2,5,-12.961072361194091,-8.224635247203217,3.970556412563945
2,6,8.584666805148503,-10.28859639874987,-1.3225150309943032
2,7,-13.511242795824225,-2.129659483313155,8.488566967784282
2,8,19.637626555510195,1.5272375799230433,2.8027034352517006
2,9,0.43509392670091884,19.185927459010987,-16.256289638254305
2,10,-12.695612840667815,-8.224635247203217,4.369210020049113
2,11,9.568578047092956,-10.209101439237426,-1.3225150309943032
2,12,-13.9360442232964,-2.129659483313155,8.194136925574856
2,13,19.24535114308434,1.6203012101028413,2.8027034352517006
2,14,0.43509392670091884,18.711625352551998,-15.6505749955422
3,0,-12.961072361194091,18.711625352551998,-16.256289638254305
3,1,9.568578047092956,-8.224635247203217,4.369210020049113
3,2,-13.511242795824225,-10.28859639874987,-1.3225150309943032
3,3,19.637626555510195,-2.129659483313155,8.194136925574856
3,4,0.43509392670091884,1.6203012101028413,2.8027034352517006
3,5,-12.961072361194091,-7.95229655545971,4.369210020049113
3,6,9.568578047092956,-10.28859639874987,-1.541739482905825
3,7,-13.511242795824225,-2.129659483313155,7.621132506735786
3,8,19.637626555510195,1.54427480421239,2.8027034352517006
3,9,0.43509392670091884,17.88165247220008,-16.256289638254305
3,10,-12.961072361194091,-8.773709768878998,4.369210020049113
3,11,9.568578047092956,-10.28859639874987,-0.40834675199995796
3,12,-13.511242795824225,-2.129659483313155,8.825521078440213
3,13,19.637626555510195,1.3377905759238053,2.8027034352517006
3,14,0.43509392670091884,19.016838314937097,-16.256289638254305
4,0,-12.961072361194091,18.711625352551998,-16.256289638254305
4,1,9.568578047092956,-8.224635247203217,4.369210020049113
4,2,-13.511242795824225,-10.28859639874987,-1.3225150309943032
4,3,19.637626555510195,-2.129659483313155,8.194136925574856
4,4,0.43509392670091884,1.6203012101028413,2.8027034352517006
4,5,-12.244125912790647,-8.224635247203217,4.369210020049113
4,6,9.568578047092956,-9.83013122701784,-1.3225150309943032
4,7,-13.511242795824225,-2.947835386249859,8.194136925574856
4,8,19.774009657739114,1.6203012101028413,2.8027034352517006
4,9,0.43509392670091884,18.711625352551998,-15.555008312409232
4,10,-13.593053947774502,-8.224635247203217,4.369210020049113
4,11,10.041214723993042,-10.28859639874987,-1.3225150309943032
4,12,-13.511242795824225,-2.2204466009936317,8.194136925574856
4,13,19.637626555510195,2.4480243634348224,2.8027034352517006
4,14,0.43509392670091884,19.53121796567633,-16.256289638254305
5,0,-12.961072361194091,18.711625352551998,-16.256289638254305
5,1,9.568578047092956,-8.224635247203217,4.369210020049113
5,2,-13.511242795824225,-10.28859639874987,-1.3225150309943032
5,3,19.637626555510195,-2.129659483313155,8.194136925574856
5,4,0.43509392670091884,1.6203012101028413,2.8027034352517006
5,5,-12.961072361194091,-7.8284092272709325,4.369210020049113
5,6,9.84504505321219,-10.28859639874987,-1.3225150309943032
5,7,-13.000250498546112,-2.129659483313155,8.194136925574856
5,8,18.67935551343202,1.6203012101028413,2.8027034352517006
5,9,-0.04578364850800276,18.711625352551998,-16.256289638254305
5,10,-12.207171763982657,-8.224635247203217,4.369210020049113
5,11,9.568578047092956,-10.35220216308102,-1.3225150309943032
5,12,-13.511242795824225,-2.129659483313155,8.916474085656906
5,13,19.294663346268567,1.6203012101028413,2.8027034352517006
5,14,0.43509392670091884,19.58102062781074,-16.256289638254305
6,0,-12.961072361194091,18.711625352551998,-16.256289638254305
6,1,-0.04578364850800276,18.711625352551998,-16.256289638254305
6,2,9.568578047092956,-8.224635247203217,4.369210020049113
6,3,-13.511242795824225,-10.28859639874987,-1.3225150309943032
6,4,19.637626555510195,-2.129659483313155,8.194136925574856
6,5,-12.961072361194091,19.48825407639556,-16.256289638254305
6,6,0.13624133842270258,-8.224635247203217,4.369210020049113
6,7,8.895456045254594,-10.28859639874987,-1.3225150309943032
6,8,-13.511242795824225,-2.129659483313155,8.194099206411266
6,9,18.67877807759879,18.711625352551998,-16.256289638254305
6,10,-12.961072361194091,19.675392497304944,-16.256289638254305
6,11,-0.04578364850800276,-8.184008550802476,4.369210020049113
6,12,9.568578047092956,-10.28859639874987,-1.6913907378262187
6,13,-13.44493543886898,-2.129659483313155,8.194136925574856
6,14,19.637626555510195,18.711625352551998,-16.353138883757698
7,0,-12.961072361194091,19.675392497304944,-16.256289638254305
7,1,-12.961072361194091,18.711625352551998,-16.256289638254305
7,2,-0.04578364850800276,18.711625352551998,-16.256289638254305
7,3,9.568578047092956,-8.224635247203217,4.369210020049113
7,4,-13.511242795824225,-10.28859639874987,-1.3225150309943032
7,5,-12.707928851145127,18.711625352551998,-16.256289638254305
7,6,-12.961072361194091,18.414765364746735,-16.256289638254305
7,7,-0.04578364850800276,-8.54981457775272,4.369210020049113
7,8,9.32310726251626,-10.28859639874987,-1.3225150309943032
7,9,-12.816958633068406,19.675392497304944,-16.256289638254305
7,10,-12.961072361194091,19.446805470232622,-16.256289638254305
7,11,-12.961072361194091,18.711625352551998,-15.34265104962896
